Price,URL,Sqft
"$1995/mo",https://www.zillow.com/homedetails/431-13th-St-Sacramento-CA-95814/2081396032_zpid/,"1000 sqft"
"$2200/mo",https://www.zillow.com/homedetails/2048-20th-St-Sacramento-CA-95818/2081397597_zpid/,"012 sqft"
"$1829/mo",https://www.zillow.com/homedetails/1127-15th-St-PH-308-Sacramento-CA-95814/2081399347_zpid/,"683 sqft"
"$1100/mo",https://www.zillow.com/homedetails/1964-32nd-St-Sacramento-CA-95816/25790571_zpid/,"600 sqft"
"$1150/mo",https://www.zillow.com/homedetails/3318-V-St-Sacramento-CA-95817/2107862963_zpid/,"500 sqft"
"$0990/mo",https://www.zillow.com/homedetails/2915-34th-St-APT-6-Sacramento-CA-95817/2099967822_zpid/,"480 sqft"
"$1195/mo",https://www.zillow.com/homedetails/3330-T-St-UNIT-B-Sacramento-CA-95816/2092602044_zpid/,"600 sqft"
"$0995/mo",https://www.zillow.com/homedetails/2125-North-Ave-Sacramento-CA-95838/2103742645_zpid/,"575 sqft"
"$1595/mo",https://www.zillow.com/homedetails/804-26th-St-Sacramento-CA-95816/2088306963_zpid/,"-- sqft"
"$1650/mo",https://www.zillow.com/homedetails/6229-Seyferth-Way-Sacramento-CA-95823/25926017_zpid/,"1167 sqft"
"$1500/mo",https://www.zillow.com/homedetails/4221-T-St-2-Sacramento-CA-95819/2081403446_zpid/,"1100 sqft"
"$1295/mo",https://www.zillow.com/homedetails/2815-E-St-11-Sacramento-CA-95816/2114646008_zpid/,"-- sqft"
"$1395/mo",https://www.zillow.com/homedetails/2222-P-St-APT-202-Sacramento-CA-95816/2106504248_zpid/,"-- sqft"
"$1595/mo",https://www.zillow.com/homedetails/2117-22nd-St-APT-03-Sacramento-CA-95818/2081405653_zpid/,"-- sqft"
"$1295/mo",https://www.zillow.com/homedetails/2212-V-St-APT-06-Sacramento-CA-95818/2081405664_zpid/,"-- sqft"
"$1395/mo",https://www.zillow.com/homedetails/1621-Q-St-APT-05-Sacramento-CA-95811/2088611725_zpid/,"-- sqft"
"$1395/mo",https://www.zillow.com/homedetails/1621-Q-St-APT-05-Sacramento-CA-95811/2088611725_zpid/,"-- sqft"
"$1450/mo",https://www.zillow.com/homedetails/5065-Shell-St-North-Highlands-CA-95660/26022149_zpid/,"1988 sqft"
"$1150/mo",https://www.zillow.com/homedetails/415-T-St-APT-1-Sacramento-CA-95811/2085927275_zpid/,"700 sqft"
"$1250/mo",https://www.zillow.com/homedetails/2081-15th-Ave-APT-7-Sacramento-CA-95822/2082025810_zpid/,"-- sqft"
"$1485/mo",https://www.zillow.com/homedetails/2412-Q-St-APT-5-Sacramento-CA-95816/2081412323_zpid/,"640 sqft"
"$1375/mo",https://www.zillow.com/homedetails/1510-28th-St-APT-11-Sacramento-CA-95816/2114790556_zpid/,"700 sqft"
"$1398/mo",https://www.zillow.com/homedetails/1808-D-St-APT-H-Sacramento-CA-95811/2088558006_zpid/,"650 sqft"
"$1400/mo",https://www.zillow.com/homedetails/4541-Ashcroft-Ave-Sacramento-CA-95841/26022463_zpid/,"840 sqft"
"$1175/mo",https://www.zillow.com/homedetails/6624-Lemon-Hill-Ave-APT-16-Sacramento-CA-95824/2081454421_zpid/,"800 sqft"
"$1425/mo",https://www.zillow.com/homedetails/1516-25th-St-APT-1-Sacramento-CA-95816/2088420820_zpid/,"800 sqft"
"$1395/mo",https://www.zillow.com/homedetails/403-19th-St-403-Sacramento-CA-95811/2089962447_zpid/,"-- sqft"
"$1325/mo",https://www.zillow.com/homedetails/1320-19th-St-APT-B-Sacramento-CA-95811/2081627258_zpid/,"625 sqft"
"$1695/mo",https://www.zillow.com/homedetails/1511-G-St-A-Sacramento-CA-95814/2081631076_zpid/,"600 sqft"
"$1295/mo",https://www.zillow.com/homedetails/2318-O-St-APT-12-Sacramento-CA-95816/2081839043_zpid/,"-- sqft"
"$1275/mo",https://www.zillow.com/homedetails/7238-East-Pkwy-APT-B10-Sacramento-CA-95823/2081421152_zpid/,"-- sqft"
"$1395/mo",https://www.zillow.com/homedetails/2620-F-St-APT-1-Sacramento-CA-95816/2126937002_zpid/,"-- sqft"
"$1145/mo",https://www.zillow.com/homedetails/7240-East-Pkwy-APT-C4-Sacramento-CA-95823/2081421191_zpid/,"910 sqft"
"$1275/mo",https://www.zillow.com/homedetails/5484-Carlson-Dr-Sacramento-CA-95819/2100550440_zpid/,"-- sqft"
"$1400/mo",https://www.zillow.com/homedetails/2816-O-St-Sacramento-CA-95816/2083494257_zpid/,"-- sqft"
"$1300/mo",https://www.zillow.com/homedetails/5216-Garfield-Ave-APT-36-Sacramento-CA-95841/2081427928_zpid/,"940 sqft"
"$2545/mo",https://www.zillow.com/homedetails/3414-J-St-Sacramento-CA-95816/2082961908_zpid/,"-- sqft"
"$1495/mo",https://www.zillow.com/homedetails/5893-S-Land-Park-Dr-Sacramento-CA-95822/25816199_zpid/,"1000 sqft"
"$1975/mo",https://www.zillow.com/homedetails/1419-E-St-APT-3-Sacramento-CA-95814/2081430789_zpid/,"1050 sqft"
"$1950/mo",https://www.zillow.com/homedetails/2111-9th-St-APT-A-Sacramento-CA-95818/2092286594_zpid/,"1000 sqft"
"$1799/mo",https://www.zillow.com/homedetails/1308-V-St-4-Sacramento-CA-95818/2082762620_zpid/,"1000 sqft"
"$1300/mo",https://www.zillow.com/homedetails/1504-28th-St-UPSTAIRS-Sacramento-CA-95816/2092012060_zpid/,"650 sqft"
"$1725/mo",https://www.zillow.com/homedetails/3939-Madison-Ave-APT-144-North-Highlands-CA-95660/64785954_zpid/,"1036 sqft"
"$1200/mo",https://www.zillow.com/homedetails/441-Morrison-Ave-APT-2-Sacramento-CA-95838/2081439376_zpid/,"700 sqft"
"$1550/mo",https://www.zillow.com/homedetails/2621-D-St-APT-09-Sacramento-CA-95816/2088481870_zpid/,"-- sqft"
"$1600/mo",https://www.zillow.com/homedetails/4037-43rd-St-1-Sacramento-CA-95820/2081477150_zpid/,"1200 sqft"
"$2495/mo",https://www.zillow.com/homedetails/3000-O-St-Sacramento-CA-95816/2081443631_zpid/,"1385 sqft"
"$1125/mo",https://www.zillow.com/homedetails/5311-College-Oak-Dr-APT-14-Sacramento-CA-95841/2084043811_zpid/,"700 sqft"
"$1575/mo",https://www.zillow.com/homedetails/2233-N-St-Sacramento-CA-95816/2081443842_zpid/,"540 sqft"
"$1395/mo",https://www.zillow.com/homedetails/2522-N-St-APT-8-Sacramento-CA-95816/2087614992_zpid/,"-- sqft"
"$0790/mo",https://www.zillow.com/homedetails/3840-40th-St-A-Sacramento-CA-95820/2081446427_zpid/,"400 sqft"
"$1550/mo",https://www.zillow.com/homedetails/405-21st-St-APT-B-Sacramento-CA-95811/2097300744_zpid/,"500 sqft"
"$1650/mo",https://www.zillow.com/homedetails/4311-21st-St-Sacramento-CA-95822/25805643_zpid/,"700 sqft"
"$1800/mo",https://www.zillow.com/homedetails/3443-1st-Ave-2-Sacramento-CA-95817/2081955755_zpid/,"1000 sqft"
"$0975/mo",https://www.zillow.com/homedetails/250-Cleveland-Ave-APT-10-Sacramento-CA-95833/2081616588_zpid/,"-- sqft"
"$2150/mo",https://www.zillow.com/homedetails/1130-T-St-Sacramento-CA-95811/2081452255_zpid/,"1500 sqft"
"$1700/mo",https://www.zillow.com/homedetails/5957-Bamford-Dr-Sacramento-CA-95823/25917824_zpid/,"976 sqft"
"$2575/mo",https://www.zillow.com/homedetails/1818-L-Street-Lofts-310-310-Sacramento-CA-95815/2082731292_zpid/,"942 sqft"
"$2000/mo",https://www.zillow.com/homedetails/15th-St-Sacramento-CA-95818/2081621244_zpid/,"1040 sqft"
"$0950/mo",https://www.zillow.com/homedetails/2330-Capitol-Ave-APT-14-Sacramento-CA-95816/2087172148_zpid/,"500 sqft"
"$1300/mo",https://www.zillow.com/homedetails/4609-Greenholme-Dr-APT-2-Sacramento-CA-95842/26001235_zpid/,"840 sqft"
"$1495/mo",https://www.zillow.com/homedetails/7302-Arleta-Ct-Sacramento-CA-95823/2111864155_zpid/,"-- sqft"
"$1500/mo",https://www.zillow.com/homedetails/1907-28th-St-C-Sacramento-CA-95816/2094625019_zpid/,"-- sqft"
"$1400/mo",https://www.zillow.com/homedetails/2508-L-St-APT-15-Sacramento-CA-95816/2104717736_zpid/,"-- sqft"
"$2250/mo",https://www.zillow.com/homedetails/Carlson-Dr-Sacramento-CA-95819/2095288785_zpid/,"1100 sqft"
"$1350/mo",https://www.zillow.com/homedetails/4918-Harrison-St-4918-North-Highlands-CA-95660/2081458761_zpid/,"900 sqft"
"$1125/mo",https://www.zillow.com/homedetails/4415-Greenholme-Dr-Sacramento-CA-95842/2112375179_zpid/,"840 sqft"
"$1495/mo",https://www.zillow.com/homedetails/2824-I-St-APT-2-Sacramento-CA-95816/2092134854_zpid/,"800 sqft"
"$1295/mo",https://www.zillow.com/homedetails/1214-23rd-St-Sacramento-CA-95816/25784366_zpid/,"2298 sqft"
"$1595/mo",https://www.zillow.com/homedetails/2408-Capitol-Ave-Sacramento-CA-95816/2084685006_zpid/,"1200 sqft"
"$1295/mo",https://www.zillow.com/homedetails/1723-Capitol-Ave-Sacramento-CA-95811/2109691447_zpid/,"900 sqft"
"$1499/mo",https://www.zillow.com/homedetails/2421-F-St-APT-7-Sacramento-CA-95816/2081476314_zpid/,"1100 sqft"
"$1200/mo",https://www.zillow.com/homedetails/Meadowview-Rd-Sacramento-CA-95832/2081480369_zpid/,"1000 sqft"
"$0995/mo",https://www.zillow.com/homedetails/751-Bowles-Street-751-Bowles-St-3C-Sacramento-CA-95815/2081467679_zpid/,"-- sqft"
"$1495/mo",https://www.zillow.com/homedetails/3300-J-St-APT-5-Sacramento-CA-95816/2081467902_zpid/,"900 sqft"
"$1800/mo",https://www.zillow.com/homedetails/2515-S-St-APT-02-Sacramento-CA-95816/2087983925_zpid/,"715 sqft"
"$1100/mo",https://www.zillow.com/homedetails/5701-Sampson-Blvd-Sacramento-CA-95824/25819343_zpid/,"850 sqft"
"$1900/mo",https://www.zillow.com/homedetails/1051-G-St-APT-6-Sacramento-CA-95814/2082530231_zpid/,"1076 sqft"
"$1750/mo",https://www.zillow.com/homedetails/1714-T-St-Sacramento-CA-95811/2086307441_zpid/,"1000 sqft"
"$1195/mo",https://www.zillow.com/homedetails/1530-F-St-UNIT-102-Sacramento-CA-95814/2081475914_zpid/,"435 sqft"
"$1050/mo",https://www.zillow.com/homedetails/2223-Royale-Rd-APT-2-Sacramento-CA-95815/2081476061_zpid/,"650 sqft"
"$1345/mo",https://www.zillow.com/homedetails/E-St-Sacramento-CA-95814/2095400252_zpid/,"300 sqft"
"$0995/mo",https://www.zillow.com/homedetails/2909-16th-Ave-APT-D-Sacramento-CA-95820/2104055162_zpid/,"600 sqft"
"$1250/mo",https://www.zillow.com/homedetails/2643-32nd-St-2-Sacramento-CA-95817/2087394947_zpid/,"700 sqft"
"$1100/mo",https://www.zillow.com/homedetails/2114-16th-St-APT-2-Sacramento-CA-95818/2112800220_zpid/,"600 sqft"
"$1100/mo",https://www.zillow.com/homedetails/1019-H-St-APT-8-Sacramento-CA-95814/2081586684_zpid/,"486 sqft"
"$0950/mo",https://www.zillow.com/homedetails/4500-Stockton-Blvd-APT-16-Sacramento-CA-95820/2081532973_zpid/,"575 sqft"
"$2600/mo",https://www.zillow.com/homedetails/1225-F-St-ABC-Sacramento-CA-95814/2081477359_zpid/,"1200 sqft"
"$1225/mo",https://www.zillow.com/homedetails/1059-Rio-Ln-APT-1-Sacramento-CA-95822/2111014159_zpid/,"1085 sqft"
"$1025/mo",https://www.zillow.com/homedetails/Redwood-Ave-Sacramento-CA-95815/2081478768_zpid/,"-- sqft"
"$0850/mo",https://www.zillow.com/homedetails/3732-Lily-St-APT-2-Sacramento-CA-95838/2081479019_zpid/,"-- sqft"
"$1495/mo",https://www.zillow.com/homedetails/Redwood-Ave-Sacramento-CA-95815/2081479117_zpid/,"1250 sqft"
"$0910/mo",https://www.zillow.com/homedetails/2515-P-St-APT-11-Sacramento-CA-95816/2116117157_zpid/,"340 sqft"
"$1315/mo",https://www.zillow.com/homedetails/1820-V-St-APT-1-Sacramento-CA-95818/2104800216_zpid/,"750 sqft"
"$2150/mo",https://www.zillow.com/homedetails/2110-H-St-APT-7-Sacramento-CA-95816/2110615453_zpid/,"1080 sqft"
"$1000/mo",https://www.zillow.com/homedetails/4661-Orange-Grove-Ave-APT-12-Sacramento-CA-95841/2081484421_zpid/,"600 sqft"
"$1195/mo",https://www.zillow.com/homedetails/3220-W-St-APT-4-Sacramento-CA-95817/2083924348_zpid/,"500 sqft"
"$1525/mo",https://www.zillow.com/homedetails/709-28th-St-Sacramento-CA-95816/2081490393_zpid/,"850 sqft"
"$1495/mo",https://www.zillow.com/homedetails/1524-25th-St-Sacramento-CA-95816/2081557733_zpid/,"850 sqft"
"$1300/mo",https://www.zillow.com/homedetails/5786-Belleview-Ave-APT-B-Sacramento-CA-95824/2081848800_zpid/,"600 sqft"
